id,stage,phon,phon_str
john,2,['AH'],AH
john,3,['Y' 'UW'],Y_UW
john,4,['AH' 'N'],AH_N
john,4,['DH' 'AH'],DH_AH
john,4,['M' 'M'],M_M
john,4,['UW'],UW
john,5,['M' 'IY'],M_IY
john,5,['N' 'AH' 'N'],N_AH_N
john,5,['P' 'UH' 'R'],P_UH_R
john,5,['W' 'EH' 'L' 'IY'],W_EH_L_IY
john,5,['W' 'IY'],W_IY
john,6,['AA'],AA
john,6,['AA' 'N'],AA_N
john,6,['AA' 'R'],AA_R
john,6,['AE' 'K' 'S'],AE_K_S
john,6,['AE' 'N' 'T'],AE_N_T
john,6,['B' 'AE' 'K' 'S'],B_AE_K_S
john,6,['D' 'IY'],D_IY
john,6,['DH' 'IH' 'S'],DH_IH_S
john,6,['EH' 'N' 'IY'],EH_N_IY
john,6,['HH' 'AE' 'D'],HH_AE_D
john,6,['HH' 'AE' 'Z'],HH_AE_Z
john,6,['HH' 'EH' 'L' 'D'],HH_EH_L_D
john,6,['HH' 'IH' 'R' 'Z'],HH_IH_R_Z
john,6,['HH' 'IY'],HH_IY
john,6,['HH' 'IY' 'Z'],HH_IY_Z
john,6,['HH' 'M'],HH_M
john,6,['IH' 'T' 'S'],IH_T_S
john,6,['IY'],IY
john,6,['M' 'AH' 'D' 'IY'],M_AH_D_IY
john,6,['OW'],OW
john,6,['OW' 'OW'],OW_OW
john,6,['T' 'UW'],T_UW
john,6,['W' 'AA'],W_AA
john,6,['W' 'AA' 'N' 'T'],W_AA_N_T
john,6,['W' 'EH' 'R'],W_EH_R
john,6,['W' 'OW'],W_OW
john,7,['AA' 'AA'],AA_AA
john,7,['AE' 'N' 'D'],AE_N_D
john,7,['AE' 'N' 'IY'],AE_N_IY
john,7,['AE' 'N' 'S'],AE_N_S
john,7,['AE' 'Z'],AE_Z
john,7,['AH' 'M'],AH_M
john,7,['B' 'AE' 'D'],B_AE_D
john,7,['B' 'AE' 'K'],B_AE_K
john,7,['B' 'AE' 'T'],B_AE_T
john,7,['B' 'AE' 'T' 'S'],B_AE_T_S
john,7,['B' 'EH' 'N' 'IY'],B_EH_N_IY
john,7,['B' 'IY'],B_IY
john,7,['B' 'IY' 'N'],B_IY_N
john,7,['D' 'AH' 'D'],D_AH_D
john,7,['D' 'IH' 'D'],D_IH_D
john,7,['D' 'OW' 'N' 'T'],D_OW_N_T
john,7,['D' 'UW'],D_UW
john,7,['D' 'UW' 'D'],D_UW_D
john,7,['DH' 'AE' 'N'],DH_AE_N
john,7,['DH' 'AE' 'T'],DH_AE_T
john,7,['DH' 'AE' 'T' 'S'],DH_AE_T_S
john,7,['DH' 'EH' 'R'],DH_EH_R
john,7,['DH' 'IY'],DH_IY
john,7,['DH' 'IY' 'Z'],DH_IY_Z
john,7,['DH' 'OW'],DH_OW
john,7,['EH' 'R'],EH_R
john,7,['G' 'AA' 'L' 'IY'],G_AA_L_IY
john,7,['HH' 'AA'],HH_AA
john,7,['HH' 'AE' 'M'],HH_AE_M
john,7,['HH' 'AE' 'V'],HH_AE_V
john,7,['HH' 'AH' 'L' 'OW'],HH_AH_L_OW
john,7,['HH' 'EH' 'R' 'IY'],HH_EH_R_IY
john,7,['HH' 'EH' 'R' 'S'],HH_EH_R_S
john,7,['HH' 'IH' 'R'],HH_IH_R
john,7,['HH' 'IY' 'V'],HH_IY_V
john,7,['HH' 'OW' 'M'],HH_OW_M
john,7,['HH' 'UH' 'D'],HH_UH_D
john,7,['IH' 'R'],IH_R
john,7,['IH' 'T'],IH_T
john,7,['IH' 'Z'],IH_Z
john,7,['K' 'IY'],K_IY
john,7,['L' 'AO' 'R' 'IY'],L_AO_R_IY
john,7,['M' 'AH' 'N' 'IY'],M_AH_N_IY
john,7,['M' 'M' 'M' 'M'],M_M_M_M
john,7,['M' 'OW'],M_OW
john,7,['N' 'IY'],N_IY
john,7,['N' 'OW'],N_OW
john,7,['OW' 'N'],OW_N
john,7,['P' 'AE' 'L'],P_AE_L
john,7,['P' 'AO' 'R'],P_AO_R
john,7,['P' 'UH' 'T'],P_UH_T
john,7,['R' 'IH' 'R'],R_IH_R
john,7,['T' 'AA'],T_AA
john,7,['T' 'AH' 'T'],T_AH_T
john,7,['T' 'EH' 'N'],T_EH_N
john,7,['T' 'IY'],T_IY
john,7,['T' 'OW'],T_OW
john,7,['T' 'UH' 'K'],T_UH_K
john,7,['W' 'AH' 'N'],W_AH_N
john,7,['W' 'AH' 'T'],W_AH_T
john,7,['W' 'AO' 'R'],W_AO_R
john,7,['W' 'EH' 'N' 'D' 'IY'],W_EH_N_D_IY
john,7,['W' 'EH' 'N' 'T'],W_EH_N_T
john,7,['W' 'EH' 'R' 'S'],W_EH_R_S
john,7,['W' 'EH' 'T'],W_EH_T
john,7,['W' 'IH' 'L' 'IY'],W_IH_L_IY
john,7,['W' 'UH' 'D'],W_UH_D
john,7,['Y' 'AA' 'T'],Y_AA_T
john,7,['Y' 'AH' 'M'],Y_AH_M
john,7,['Y' 'AO' 'R'],Y_AO_R
john,7,['Y' 'EH' 'S'],Y_EH_S
john,7,['Y' 'EH' 'T'],Y_EH_T
john,7,['Y' 'IH' 'R' 'Z'],Y_IH_R_Z
john,8,['AA' 'R' 'M' 'IY'],AA_R_M_IY
john,8,['AA' 'R' 'M' 'Z'],AA_R_M_Z
john,8,['AE' 'M'],AE_M
john,8,['AE' 'N'],AE_N
john,8,['AE' 'N' 'T' 'S'],AE_N_T_S
john,8,['AH' 'AH'],AH_AH
john,8,['AH' 'M' 'AH' 'M'],AH_M_AH_M
john,8,['AH' 'OW'],AH_OW
john,8,['AH' 'S'],AH_S
john,8,['AO' 'R'],AO_R
john,8,['AY'],AY
john,8,['AY' 'AY'],AY_AY
john,8,['AY' 'V'],AY_V
john,8,['AY' 'Z'],AY_Z
john,8,['B' 'AA' 'K' 'S'],B_AA_K_S
john,8,['B' 'AH' 'M'],B_AH_M
