"","phon","freq","freq_log10","nd","pp"
"1215","B_IH_L_IY_B_L_EY_K",0.730239357856718,0.238106186715963,0,0.00331963351498054
"1216","B_IH_L_IY_B_OW_N_Z",0.730239357856718,0.238106186715963,0,0.00325807279563142
"1217","B_IH_L_IY_DH_AH_B_UH_L_IY",1.46047871571344,0.39101961253686,0,0.00326322978502571
"1218","B_IH_L_IY_DH_AH_P_IH_G",0.730239357856718,0.238106186715963,0,0.00320281356723929
"1219","B_IH_L_IY_DH_AH_R_AE_B_IH_T",0.730239357856718,0.238106186715963,0,0.0027737830184998
"1220","B_IH_L_IY_G_OW_T",7.30239357856718,0.919203317448713,0,0.00292481413765887
"1221","B_IH_L_IY_G_OW_T_G_R_AH_F",5.84191486285375,0.835177665753331,0,0.00304466634130507
"1222","B_IH_L_IY_Z",2.19071807357015,0.503888432365908,6,0.00503756738858863
"1223","B_IH_L_T",43.8143614714031,1.65141721284381,8,0.00255293865048832
"1224","B_IH_L_W_UH_D",0.730239357856718,0.238106186715963,0,0.00182453207592198
"1225","B_IH_L_Z",2.92095743142687,0.593392127330361,20,0.00329574709413073
"1226","B_IH_N",735.351033361715,2.8670849006252,23,0.0040797912558411
"1227","B_IH_N_B_AE_G",2.19071807357015,0.503888432365908,2,0.00242635677765343
"1228","B_IH_N_B_AE_G_Z",2.19071807357015,0.503888432365908,2,0.00218049764489854
"1229","B_IH_N_B_OY",0.730239357856718,0.238106186715963,0,0.00223591844998188
"1230","B_IH_N_L_AO_R_IY",2.19071807357015,0.503888432365908,0,0.00403935668886703
"1231","B_IH_N_M_AE_N",2.92095743142687,0.593392127330361,1,0.00401682077986121
"1232","B_IH_N_M_EH_N",5.11167550499703,0.786160287627463,2,0.00359845025332398
"1233","B_IH_N_M_EH_N_S",0.730239357856718,0.238106186715963,1,0.00396140940008487
"1234","B_IH_N_S",2.19071807357015,0.503888432365908,13,0.00464526254852384
